date,traffic,referrer,agent_type,agent_type_plus,destination,requests,median_ttfb,upper95_ttfb,upper99_ttfb,total_ttfb
2017-11-07,external,external,spider,bot,homepage,5,0.00043,0.0007732500000000001,0.00080105,0.002584
2017-06-01,external,none,spider,bot,LDF endpoint,388246,8.223462603761767e-05,0.07179923055555558,0.14012749999999982,3120.399857999979
2017-06-01,external,unknown,user,user,homepage,3,0.0007375,0.07485314999999997,0.08530502999999998,0.089393
2017-07-22,external,external,spider,bot,SPARQL endpoint,1,0.102475,0.102475,0.102475,0.102475
2017-08-18,external,internal,spider,bot,SPARQL endpoint,48531,0.00011,0.000872,0.000975,17.835335999999966
2017-04-28,external,none,spider,bot,SPARQL endpoint,708731,0.03108492304789378,0.1889610774515233,0.6424721808333282,79118.92549400064
2017-05-27,external,internal,user,user,homepage,378,0.085531,0.0886538,0.15387131999999942,22.370079999999998
2017-07-09,internal,none,spider,bot,SPARQL endpoint,1082667,0.01859397152410146,0.1029878588675929,1.8254676675000054,108482.12326699999
2017-08-04,external,internal,user,bot,homepage,1,0.000242,0.000242,0.000242,0.000242
2017-11-14,external,none,spider,bot,LDF endpoint,350000,9.061217975395779e-05,0.1068241224489796,0.20811733333333332,4565.393008000067
2017-07-17,external,external,user,user,LDF endpoint,29,0.1004525,0.28022715000000004,0.41218985000000014,4.2236009999999995
2017-10-02,external,external,user,user,SPARQL endpoint,10658,0.148686,2.973000500000006,18.04774678,9756.730166000003
2017-10-22,external,internal,user,user,homepage,468,0.000642,0.08903919999999999,0.10335095999999999,12.395748999999999
2017-05-02,external,none,user,user,SPARQL endpoint,19942,0.10549114000000001,0.30238699999999874,1.0895989999999933,3086.862277
2017-05-17,external,internal,spider,bot,homepage,16,0.086015,0.10349899999999994,0.15694539999999996,1.183268
2017-05-26,external,external,user,user,SPARQL endpoint,3098,0.101422,0.7007833999999998,3.95470998,941.7982569999999
2017-05-09,external,none,user,bot,SPARQL endpoint,401043,0.014100268749999999,0.10592761903339588,0.1815301200000001,17231.054912998774
2017-08-24,external,internal,spider,bot,homepage,5,0.00012200000000000001,0.00069025,0.00070365,0.0016899999999999999
2017-10-12,external,internal,spider,bot,homepage,5,0.0008125,0.0009080000000000001,0.0009144,0.003528
2017-10-21,external,external,user,user,SPARQL endpoint,8504,0.049639,4.305870599999976,18.363979399999995,8569.667565
2017-08-16,external,none,user,bot,SPARQL endpoint,43336,0.11665627190082646,8.735218399999953,20.69775275999994,51477.78355300001
2017-09-10,external,external (search engine),user,user,SPARQL endpoint,2110,0.113486,0.31241399999999997,0.5272598000000002,308.07383000000004
2017-09-28,external,external (search engine),user,user,SPARQL endpoint,1788,0.106706,0.314459,0.5616831599999987,216.15676500000004
2017-10-04,external,none,user,bot,SPARQL endpoint,200181,0.019977311550605448,0.1564464539999998,0.46062725000000043,17827.793006999975
2017-07-02,external,none,spider,bot,LDF endpoint,395760,8.36389974715895e-05,0.09169462925170067,0.1524040000000003,4398.850110000039
2017-07-02,external,unknown,user,user,homepage,8,0.085677,0.0891622,0.09079004,0.6066290000000001
2017-08-23,external,external,spider,bot,SPARQL endpoint,15,1.7122000000000002,8.44139725,9.77610745,35.533467
2017-09-19,external,internal,spider,bot,SPARQL endpoint,45,0.000114,0.10719250000000001,0.13057119999999997,0.8403869999999999
2017-10-11,external,external,spider,bot,SPARQL endpoint,13,0.24788100000000002,4.18832235,4.34213887,11.513029
2017-10-29,external,external,spider,bot,SPARQL endpoint,11,0.19738649999999996,13.722461099999997,15.060922620000001,34.114604
2017-10-30,internal,none,user,bot,SPARQL endpoint,331327,0.015960411138234903,0.03624773945312497,0.18472468749999918,6934.853449999999
2017-04-26,external,unknown,user,user,LDF endpoint,64,0.039679,0.0429812,0.05827507999999998,1.8463169999999998
2017-05-29,external,none,spider,bot,SPARQL endpoint,6347623,0.00030432051053078373,0.18790120651499387,0.38561728121354955,564912.8185830128
2017-06-08,external,external,user,user,SPARQL endpoint,2795,0.1029115,0.58499425,7.021085700000052,1116.7278169999997
2017-06-28,external,internal,user,user,homepage,388,0.085065,0.0946156,0.11565020000000002,18.107486
2017-06-27,external,external (search engine),user,user,homepage,80,0.002001,0.08933,0.10921500000000021,3.301219
2017-10-06,external,external,user,user,LDF endpoint,158,0.090361,0.2705391,0.3598198199999989,17.172973000000002
2017-10-24,external,none,spider,bot,SPARQL endpoint,1439973,0.01904574386519145,0.37919071640815977,6.444335060111608,267665.826789002
2017-11-03,external,external,user,user,SPARQL endpoint,11394,0.123789,2.1718827,8.696271059999985,7409.752237000002
2017-05-22,external,external,spider,bot,homepage,6,0.000612,0.05959259999999994,0.07975451999999995,0.08739799999999999
2017-06-03,external,none,user,user,SPARQL endpoint,12573,0.10709975,0.5107294999999996,1.5239554000000046,2956.715614999999
2017-06-18,external,internal,spider,bot,homepage,15,0.08596899999999999,0.0920545,0.09211570000000001,0.9629090000000001
2017-06-27,external,external,user,user,SPARQL endpoint,8749,0.104294,0.3609939,3.232637430000022,2477.516468
2017-10-10,external,none,user,bot,homepage,1,0.085016,0.085016,0.085016,0.085016
2017-09-10,external,none,user,user,SPARQL endpoint,9700,0.038723,0.95186,4.740959,3823.094314000001
2017-09-25,external,internal,spider,bot,homepage,3,0.00021100000000000003,0.0007932499999999998,0.0008610499999999998,0.0013
2017-11-13,external,internal,spider,bot,homepage,19,0.043388,0.0888956,0.09223352,0.877494
2017-09-17,external,none,user,bot,SPARQL endpoint,992267,0.10091200135779371,0.39070380982573766,3.3490638985416536,234007.9628969999
2017-11-05,external,none,user,bot,SPARQL endpoint,74123,0.10626468427041123,0.25008129999999945,2.736538130000003,18865.305427999996
2017-08-03,external,none,spider,bot,LDF endpoint,374755,8.63824203752526e-05,0.13160405467128028,0.2348786281250001,7515.771728000239
2017-08-03,external,unknown,user,user,homepage,37,0.08505499999999999,0.08813805,0.09043909,1.7314130000000003
2017-09-24,external,external,spider,bot,SPARQL endpoint,613,7.2067295,11.97762115,22.43016083000003,4750.048489999999
2017-10-09,external,none,spider,bot,LDF endpoint,403216,8.748268451657848e-05,0.09185153035714264,0.18894622999999947,4562.047801999999
2017-10-09,external,unknown,user,user,homepage,5,0.0008049999999999999,0.064197,0.08090660000000002,0.088452
2017-10-30,external,none,spider,bot,homepage,253,0.0004805,0.08504845,0.09000015,1.469655
2017-11-06,external,none,spider,bot,SPARQL endpoint,820239,0.018187173935381724,0.3924904728238533,7.013996765199996,233680.96158500234
2017-07-09,external,external,user,user,SPARQL endpoint,1923,0.108676,0.9401460999999995,8.007265879999997,877.2821799999999
2017-07-23,external,internal,user,user,LDF endpoint,2,0.129289,0.1495966,0.15140172,0.281142
2017-07-29,external,internal,user,user,homepage,353,0.0017625,0.08887405,0.09794175999999988,13.739410000000001
2017-06-16,external,none,user,bot,homepage,9,0.0007325000000000001,0.08583395,0.08583719,0.176449
2017-07-10,external,external (search engine),user,user,homepage,62,0.002192,0.0881788,0.09975222000000006,2.5753989999999995
2017-07-28,external,external (search engine),user,user,homepage,61,0.001356,0.0893228,0.12989156000000004,1.863803
2017-11-07,external,external,user,user,LDF endpoint,158,0.090214,0.27213219999999977,0.5978057399999979,18.440439
2017-04-23,internal,none,user,user,SPARQL endpoint,2,0.21888,0.2442348,0.24648856,0.465932
2017-05-31,external,external (search engine),user,user,SPARQL endpoint,2868,0.106323,0.1708376,0.27339884000000136,289.776815
2017-06-23,external,external,spider,bot,homepage,5,9.449999999999999e-05,0.000833,0.0008818000000000001,0.001814
2017-07-04,external,none,user,user,SPARQL endpoint,18344,0.070666,0.43553159999999974,1.0379822,3390.657475
2017-07-19,external,internal,spider,bot,homepage,9,0.0007934999999999999,0.0883219,0.08932918,0.26539799999999997
2017-11-11,external,none,user,bot,homepage,11,0.0002555,0.04024184999999994,0.07854517000000005,0.091957
2017-05-22,external,internal,spider,bot,SPARQL endpoint,13,0.052716,0.1816527,0.18217374,0.907403
2017-07-30,internal,none,user,user,SPARQL endpoint,2,0.345,0.4233981,0.43036682000000004,0.777109
2017-09-14,external,none,user,user,LDF endpoint,3,0.017063500000000002,0.03199474999999999,0.033966949999999996,0.068587
2017-09-30,external,external,spider,bot,homepage,6,0.0001,0.059727599999999936,0.08012471999999995,0.08595799999999999
2017-04-27,external,external,user,user,homepage,88,0.074807,0.12165340000000001,0.13842336000000052,5.078306000000001
2017-06-14,external,internal,user,user,SPARQL endpoint,27039,0.0999272425028835,0.5335691999999991,8.997280170000003,11149.112513
2017-07-20,internal,none,spider,bot,SPARQL endpoint,1107262,0.018017209191348502,0.10569095484467439,1.714011471224484,101725.30830799996
2017-09-04,external,none,spider,bot,LDF endpoint,408961,8.606658998968836e-05,0.09283854342857122,0.17250914527777786,4292.858662999964
2017-05-05,internal,none,user,user,SPARQL endpoint,2,0.248405,0.6333728000000001,0.6675921600000001,0.924552
2017-07-10,external,none,user,user,homepage,531,0.002948,0.0921414,0.1102383,23.570886
2017-07-25,external,unknown,user,user,SPARQL endpoint,18802,0.101103,0.13326309999999997,0.24388515999999996,2016.782286
2017-08-24,external,internal,user,user,LDF endpoint,1,0.178573,0.178573,0.178573,0.178573
2017-06-04,external,internal,spider,bot,SPARQL endpoint,1,0.10167,0.10167,0.10167,0.10167
2017-07-17,external,none,user,bot,homepage,1,0.000927,0.000927,0.000927,0.000927
2017-08-11,external,external (search engine),user,user,homepage,88,0.000668,0.0862748,0.09198008000000003,1.2125830000000002
2017-08-29,external,external (search engine),user,user,homepage,71,0.000441,0.0852969,0.08853728,0.8107139999999999
2017-10-17,external,external (search engine),user,user,homepage,125,0.0002695,0.08507925,0.08982575,0.7584449999999999
2017-05-20,external,none,user,bot,SPARQL endpoint,16680,0.10337244444444443,0.218947,2.482405600000016,3774.8924559999996
2017-05-24,internal,none,user,user,SPARQL endpoint,2,0.443439,0.9034865999999999,0.9443797199999999,1.398042
2017-07-24,external,external,spider,bot,homepage,3,0.001258,0.00185305,0.0018666099999999999,0.004386
2017-08-01,internal,none,user,bot,SPARQL endpoint,1110148,0.015530416603030577,0.0344081001089324,0.17317018232323247,22079.2549740005
2017-08-05,external,none,user,user,SPARQL endpoint,598017,0.00010035279824574207,0.085522707854875,0.09147683613333325,38756.068094001945
2017-10-07,internal,none,user,bot,SPARQL endpoint,335474,0.01554019871322265,0.030307759722222213,0.09884194888888909,6573.449574000059
2017-04-24,external,none,spider,bot,LDF endpoint,318158,0.037046258527144424,0.17522109785502954,0.2141347533333332,14593.38875700005
2017-05-09,external,external,user,user,homepage,240,0.000991,0.086317,0.12414279999999964,8.545319
2017-08-31,internal,none,user,user,SPARQL endpoint,2,0.587468,0.7349897,0.74810274,1.338849
2017-05-14,internal,none,spider,bot,SPARQL endpoint,1028198,0.017677348220644745,0.08488211557774591,1.3328998744444451,76065.05466099999
