ts,traffic,destination,median,percentile99,maximum
2017-10-02T22:00:00Z,external,/sparql,19,44,67
2017-10-02T22:00:00Z,internal,/sparql,16,52,70
2017-10-02T23:00:00Z,external,/bigdata/ldf,10,129,136
2017-10-02T23:00:00Z,external,/sparql,20,41,53
2017-10-02T23:00:00Z,internal,/sparql,16,46,57
2017-10-03T00:00:00Z,external,/bigdata/ldf,10,145,145
2017-10-03T00:00:00Z,external,/sparql,21,44,93
2017-10-03T00:00:00Z,internal,/sparql,16,45,52
2017-10-03T01:00:00Z,external,/bigdata/ldf,14,141,142
2017-10-03T01:00:00Z,external,/sparql,23,41,64
2017-10-03T01:00:00Z,internal,/sparql,17,50,58
2017-10-03T02:00:00Z,external,/sparql,20,41,66
2017-10-03T02:00:00Z,internal,/bigdata/ldf,13,147,149
2017-10-03T02:00:00Z,internal,/sparql,17,48,58
2017-10-03T03:00:00Z,external,/bigdata/ldf,5,126,131
2017-10-03T03:00:00Z,external,/sparql,8,24,42
2017-10-03T03:00:00Z,internal,/sparql,19,49,63
2017-10-03T04:00:00Z,external,/bigdata/ldf,10,150,151
2017-10-03T04:00:00Z,external,/sparql,9,25,46
2017-10-03T04:00:00Z,internal,/sparql,27,70,91
2017-10-03T05:00:00Z,external,/bigdata/ldf,12,135,137
2017-10-03T05:00:00Z,external,/sparql,8,26,48
2017-10-03T05:00:00Z,internal,/sparql,19,46,53
2017-10-03T06:00:00Z,external,/bigdata/ldf,12,137,139
2017-10-03T06:00:00Z,external,/sparql,9,31,53
2017-10-03T06:00:00Z,internal,/sparql,17,43,54
2017-10-03T07:00:00Z,external,/bigdata/ldf,11,134,137
2017-10-03T07:00:00Z,external,/sparql,9,32,58
2017-10-03T07:00:00Z,internal,/sparql,17,45,58
2017-10-03T08:00:00Z,external,/bigdata/ldf,12,142,144
2017-10-03T08:00:00Z,external,/sparql,11,45,67
2017-10-03T08:00:00Z,internal,/sparql,18,41,53
2017-10-03T09:00:00Z,external,/bigdata/ldf,11,140,142
2017-10-03T09:00:00Z,external,/sparql,14,47,84
2017-10-03T09:00:00Z,internal,/sparql,19,48,69
2017-10-03T10:00:00Z,external,/bigdata/ldf,11,143,146
2017-10-03T10:00:00Z,external,/sparql,22,55,105
2017-10-03T10:00:00Z,internal,/sparql,21,45,53
2017-10-03T11:00:00Z,external,/bigdata/ldf,9,96,129
2017-10-03T11:00:00Z,external,/sparql,22,54,88
2017-10-03T11:00:00Z,internal,/sparql,18,40,49
2017-10-03T12:00:00Z,external,/bigdata/ldf,10,143,144
2017-10-03T12:00:00Z,external,/sparql,11,48,77
2017-10-03T12:00:00Z,internal,/sparql,21,50,63
2017-10-03T13:00:00Z,external,/bigdata/ldf,13,144,145
2017-10-03T13:00:00Z,external,/sparql,16,51,88
2017-10-03T13:00:00Z,internal,/sparql,17,44,61
2017-10-03T14:00:00Z,external,/bigdata/ldf,1,1,1
2017-10-03T14:00:00Z,external,/sparql,13,44,78
2017-10-03T14:00:00Z,internal,/bigdata/ldf,10,148,150
2017-10-03T14:00:00Z,internal,/sparql,17,45,58
2017-10-03T15:00:00Z,external,/bigdata/ldf,12,142,144
2017-10-03T15:00:00Z,external,/sparql,11,39,81
2017-10-03T15:00:00Z,internal,/sparql,16,42,55
2017-10-03T16:00:00Z,external,/bigdata/ldf,13,137,138
2017-10-03T16:00:00Z,external,/sparql,10,33,82
2017-10-03T16:00:00Z,internal,/sparql,17,47,59
2017-10-03T17:00:00Z,external,/bigdata/ldf,8,138,141
2017-10-03T17:00:00Z,external,/sparql,10,45,76
2017-10-03T17:00:00Z,internal,/sparql,15,38,47
2017-10-03T18:00:00Z,external,/bigdata/ldf,11,135,139
2017-10-03T18:00:00Z,external,/sparql,18,50,199
2017-10-03T18:00:00Z,internal,/sparql,14,35,47
2017-10-03T19:00:00Z,external,/bigdata/ldf,14,143,144
2017-10-03T19:00:00Z,external,/sparql,16,38,57
2017-10-03T19:00:00Z,internal,/sparql,14,36,45
2017-10-03T20:00:00Z,external,/bigdata/ldf,11,139,142
2017-10-03T20:00:00Z,external,/sparql,9,30,46
2017-10-03T20:00:00Z,internal,/sparql,14,37,49
2017-10-03T21:00:00Z,external,/bigdata/ldf,11,138,139
2017-10-03T21:00:00Z,external,/sparql,8,32,48
2017-10-03T21:00:00Z,internal,/sparql,15,38,48
2017-10-03T22:00:00Z,external,/bigdata/ldf,12,146,147
2017-10-03T22:00:00Z,external,/sparql,9,31,72
2017-10-03T22:00:00Z,internal,/sparql,17,42,51
2017-10-03T23:00:00Z,external,/bigdata/ldf,11,140,141
2017-10-03T23:00:00Z,external,/sparql,7,61,239
2017-10-03T23:00:00Z,internal,/sparql,18,49,61
2017-10-04T00:00:00Z,external,/bigdata/ldf,12,129,131
2017-10-04T00:00:00Z,external,/sparql,8,219,250
2017-10-04T00:00:00Z,internal,/sparql,19,46,58
2017-10-04T01:00:00Z,external,/bigdata/ldf,11,143,144
2017-10-04T01:00:00Z,external,/sparql,11,28,48
2017-10-04T01:00:00Z,internal,/sparql,20,61,77
2017-10-04T02:00:00Z,external,/bigdata/ldf,11,143,145
2017-10-04T02:00:00Z,external,/sparql,7,25,64
2017-10-04T02:00:00Z,internal,/sparql,21,46,53
2017-10-04T03:00:00Z,external,/bigdata/ldf,9,143,147
2017-10-04T03:00:00Z,external,/sparql,8,23,37
2017-10-04T03:00:00Z,internal,/sparql,17,50,66
2017-10-04T04:00:00Z,external,/bigdata/ldf,11,140,143
2017-10-04T04:00:00Z,external,/sparql,7,22,44
2017-10-04T04:00:00Z,internal,/sparql,28,59,69
2017-10-04T05:00:00Z,external,/bigdata/ldf,10,145,146
2017-10-04T05:00:00Z,external,/sparql,7,26,51
2017-10-04T05:00:00Z,internal,/sparql,17,47,58
2017-10-04T06:00:00Z,external,/bigdata/ldf,11,144,145
2017-10-04T06:00:00Z,external,/sparql,9,33,61
2017-10-04T06:00:00Z,internal,/sparql,16,45,58
2017-10-04T07:00:00Z,external,/bigdata/ldf,12,134,136
