date,traffic,agent_type,agent_type_plus,requests,lower10_ttfb,lower25_ttfb,median_ttfb,upper75_ttfb,upper95_ttfb,upper99_ttfb,total_ttfb
2017-11-05,external,user,user,68770,0.00012312953995157377,0.01995248888888889,0.1015568944392446,0.20381910052849264,0.5553694444444445,7.415476900000023,32624.423257999995
2017-08-20,internal,spider,bot,1139320,0.016249551193960262,0.017424691168743747,0.020310121028820897,0.05737764254260785,0.08739019155428238,2.0422890000000016,126653.10316999986
2017-09-23,external,user,bot,58103,0.09876129894688702,0.10280684423283439,6.501096469387756,7.790635764375001,10.772766501111112,15.673748630000004,296371.0402310001
2017-10-12,external,user,user,80064,0.00011740485619007922,0.023655475000000002,0.10121065038949066,0.15756909523809526,0.4206432000000002,5.98498064000002,32118.188990000002
2017-06-24,internal,spider,bot,1060137,0.016027691961029364,0.01709925742392028,0.01892075418584409,0.03871232209896365,0.07439585929877593,1.4109077591999832,87299.350768
2017-09-09,external,spider,bot,519077,0.0001152657072206583,0.00020152582501404214,0.08561140976270126,0.12164238754308922,0.22151274181857633,0.8468414577777765,81448.84627900012
2017-07-27,external,user,bot,500543,0.10014428486788833,0.10701223265902793,0.11486682927392694,0.12078043954086408,0.15729094049772152,9.855771740000034,151878.1527299998
2017-04-28,internal,spider,bot,519407,0.014994333098735236,0.015883586481750606,0.018720059387677856,0.06052113939832773,0.07576942915639068,1.4410351261111103,55485.647435999956
2017-05-31,internal,spider,bot,1038001,0.015195679413197294,0.015779826288824794,0.017081528872771503,0.029367794203081783,0.07076350625806309,1.8615483738271597,95033.22688100002
2017-08-08,external,user,user,115977,0.015769200509772235,0.08462996296296296,0.10547513710059171,0.18881729374269005,0.2728950202469136,1.123263299999989,25669.598283
2017-10-07,external,user,bot,125642,0.015548327345798309,0.015964852280835114,0.01693792111496139,0.025554460937499995,0.10451810721367522,0.2432950700000001,12839.054552000001
2017-09-11,external,user,user,73239,0.00019719837962962983,0.03255086792843429,0.1027580763927351,0.1981973823529412,0.4332928444444446,4.348252520000004,27647.234670000005
2017-04-30,internal,user,user,2,0.285914,0.285914,0.285914,0.8732645,1.2256748000000002,1.43712098,1.746529
2017-07-15,external,user,user,45059,0.017021548328716524,0.03552879263157895,0.10119192969599998,0.11911188010204081,0.2710271999999995,10.568319239999939,22714.452280000012
2017-08-03,internal,spider,bot,1067738,0.016093035214511824,0.01726127936668993,0.019795852654007105,0.049139298057695895,0.07657374549064115,0.41224144718749556,80192.15810699997
2017-05-19,external,user,user,57706,0.019943600000000006,0.09898927411415616,0.10115850847205703,0.11176535185185185,0.1836290244897959,2.8810914000000096,16199.714096999995
2017-06-21,internal,user,bot,402500,0.00020367192459602252,0.014737509816299245,0.016086028129896027,0.017806395821499277,0.022152544445645517,0.181157,9770.352379000018
2017-09-06,external,user,bot,164794,0.010205668000674649,0.021498785218873946,0.056665400000000005,0.10797417951168703,0.12538673333333336,0.43511319999999987,19964.319362
2017-06-07,internal,spider,bot,1051529,0.015415135462452798,0.016197845042299895,0.017629600562501374,0.037503144677035485,0.0719268961334239,1.3468045275999976,80842.624763
2017-04-25,internal,user,bot,823,0.0193175,0.027928750000000002,0.0328175,0.07610875,0.24609840000000005,11.863009069999986,388.7508710000001
2017-07-10,internal,spider,bot,1072145,0.01586870783800903,0.016897988864595776,0.018631669139637392,0.039648721456697754,0.07434644528348035,1.414409850000003,86884.33610300001
2017-05-14,internal,spider,bot,1028198,0.01555812984360695,0.016402690742314204,0.01765297105037252,0.030912320959504937,0.07298291497414923,1.3328998744444451,76065.05466099999
2017-10-26,internal,spider,bot,1323807,0.015900667624684294,0.016815786237529537,0.01911942714238358,0.057912744187556056,0.08057200656182865,1.6550405773302443,124269.72846399996
2017-06-04,internal,user,bot,944,0.0067286000000000065,0.027506,0.032178,0.068584,0.27429800000000026,29.39028939999991,757.04942
2017-09-25,internal,spider,bot,1229150,0.016074106000533318,0.017149170956546257,0.019944347667837734,0.05205057612131859,0.08235640550062805,1.056424875,112387.75514699993
2017-05-11,internal,user,bot,1566,0.0225838,0.0293145,0.031901,0.041999999999999996,0.11412220000000003,5.9769029399999605,397.91643200000004
2017-07-29,internal,spider,bot,1072482,0.015974431954850803,0.0172211457883695,0.01977364073166624,0.050622254639549,0.08146211447312349,2.1015292846428544,120245.57708000009
2017-08-23,external,spider,bot,908260,0.0001068522484815847,0.015785673942149223,0.10013839703604767,0.17817341716747453,0.2556670116586539,0.6716925760000007,137652.46534800122
2017-08-24,internal,user,user,2,1.018143,1.018143,1.018143,2.4767574999999997,3.3519262000000003,3.87702742,4.953515
2017-10-23,internal,user,bot,905,0.018714500000000002,0.028787,0.03977,0.10150975,0.562854,39.46537900000005,1130.831543
2017-06-27,external,spider,bot,628894,0.0001487845041600646,0.0005272166873271501,0.1002627759194355,0.13463380499693703,0.3347971477667292,1.9995685199999702,135555.76224100066
2017-10-09,internal,spider,bot,1244489,0.01588470362810383,0.01672525097448144,0.01969873139273989,0.060938042643184746,0.08211248963305981,1.555518914772731,119690.03901999959
2017-11-03,external,spider,bot,786279,0.0001269545509286166,0.0002535662301116088,0.017755869960317663,0.10255673288286879,0.210744675965093,7.081033904285707,227621.72539000103
2017-06-28,internal,user,user,2,0.380362,0.380362,0.380362,0.5648245000000001,0.675502,0.7419085000000001,1.1296490000000001
2017-07-30,external,spider,bot,473505,0.00010004690891154215,0.00010004690891154215,0.016691919997513464,0.13103328105344605,0.19872852614872688,0.7478206750000009,58934.89196300072
2017-11-04,internal,user,user,753,0.0198764,0.02873875,0.0331295,0.0652945,0.1949638000000003,4.225850640000058,288.8104389999999
2017-07-31,internal,user,user,2,0.45718,0.45718,0.45718,0.597978,0.6824568,0.73314408,1.195956
2017-08-19,internal,user,bot,1219797,8.943875090127059e-05,0.0002439938391529075,0.016150754172520917,0.018165430281833657,0.024349162585849255,0.17674458115740757,25881.321385000167
2017-10-10,external,spider,bot,692769,0.00013114696121864226,0.00013114696121864226,0.021493506518915538,0.11316253010090409,0.2883882662560751,1.0725175324999814,107606.62100300091
2017-09-22,internal,user,bot,865553,9.043600067400377e-05,9.043600067400377e-05,0.015802651860959673,0.018608599879275375,0.02618331294940029,0.19041979277777737,19430.19267800022
2017-10-11,internal,user,user,4,0.015674,0.015674,0.015968,0.785162,0.8369342000000001,0.8679975200000001,1.688253
2017-09-08,internal,spider,bot,1156211,0.016385855194750366,0.01776141739109567,0.02084757283146928,0.054834770546654386,0.08413928146106413,1.7288083949999686,118581.97426599967
2017-07-26,internal,user,bot,733600,8.878916238332916e-05,8.878916238332916e-05,0.015282930815944002,0.017576001629081545,0.024342124755685427,0.19508389795918368,17438.830301000828
2017-08-20,external,user,bot,21629,0.00013090751001821493,0.0849403125,0.10999628402366864,0.11639408333333333,0.16836300000000015,1.7556776399999745,7468.400374
2017-08-06,external,spider,bot,366548,0.00010730151392268174,0.027267349083126988,0.10079827027209604,0.14769778888191326,0.2529613307982496,1.2401139600000024,75646.27279100005
